"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"62","Marcus Mariota","QB","TEN",304,14.1,1.35,284,321,28.5,33.5,14.8,62,55,70,18,"4",140,2.62,46
"63","Dak Prescott","QB","DAL",303,17.9,9.65,282,329,27.1,31.4,22.1,63,58,63,19,"5",137,2.73,57
"64","Jordan Reed","TE","WAS",163,24.2,1.61,131,198,26.5,8.76,38,64,78,41,8,"4",86.9,3.69,66
"65","Jay Ajayi","RB","PHI",186,14.9,3.94,166,203,24.9,34.1,11.6,65,54,76,18,"10",44.9,12.6,18
"66","Kyle Rudolph","TE","MIN",162,15.4,3.49,141,183,24.9,18.4,22.7,66,69,61,9,"5",76,4.41,14
"67","Jack Doyle","TE","IND",158,10.5,8.07,144,172,21.4,21.8,11.8,67,66,75,10,"5",118,2,29
"68","Lamar Miller","RB","HOU",182,18.2,3.74,151,197,21,19.3,5.65,68,68,83,19,"10",49.3,10.8,27
"69","Allen Robinson","WR","CHI",208,19.1,3.67,177,229,19.5,10.1,13.9,69,75,72,21,"6",54.1,13.7,37
"70","Blake Bortles","QB","JAC",293,8.7,0.79,283,307,17.5,32.7,0,70,57,93,20,"5",183,2,34
"71","Derrick Henry","RB","TEN",178,18,0.514,160,207,17.2,27.9,15.7,71,60,69,20,"10",42.3,15.6,28
"72","Derek Carr","QB","OAK",292,24.7,4.05,266,332,16.7,15.9,25.8,73,74,57,21,"5",137,2.92,66
"73","Royce Freeman","RB","DEN",177,31.6,3.5,130,216,16.7,-1.87,24.8,72,97,59,21,"10",45.4,14.2,62
"74","Marvin Jones","WR","DET",205,16.1,4.69,184,227,15.8,17,11.6,74,71,77,22,"6",60.8,8.22,28
"75","Trey Burton","TE","CHI",150,16.2,13.3,125,169,13.3,2.83,8.98,75,88,81,11,"6",88.2,3.86,26
"76","Dion Lewis","RB","TEN",174,18.4,2.93,148,196,13.2,15.9,5.33,76,73,84,22,"10",68.5,7.32,25
"77","Andy Dalton","QB","CIN",288,22,9.36,257,318,12.6,6.98,11.1,77,86,78,22,"6",169,2.24,69
"78","Josh Gordon","WR","CLE",200,18.2,0.857,176,224,11.1,9.05,9.11,78,76,80,23,"6",51.7,12.3,46
"79","Duke Johnson","RB","CLE",171,14,1.83,152,189,10.3,20.6,-1.83,79,67,99,23,"10",107,3.2,34
"80","Brandin Cooks","WR","LAR",199,20.1,4.24,174,227,10.3,7.94,12,80,85,74,24,"6",57.1,10.1,38
"81","Tevin Coleman","RB","ATL",169,15.6,0.97,148,191,8.45,16.6,0.248,81,72,91,24,"10",78.7,5.01,23
"82","Rex Burkhead","RB","NE",168,23.1,1.56,140,202,7.48,8.6,10.7,82,79,79,25,"10",77.4,5.86,59
"83","Michael Crabtree","WR","BAL",195,13.2,3.58,175,212,6.04,8.39,-3.49,83,82,105,25,"7",76.9,5.11,24
"84","Mark Ingram","RB","NO",167,22.2,0.843,132,189,5.91,0.139,-1.87,84,92,100,26,"10",58.2,11.2,35
"85","Chris Thompson","RB","WAS",166,20.4,0.448,140,195,5.07,8.32,3.55,85,84,88,27,"10",91.1,4.09,55
"86","Carlos Hyde","RB","CLE",165,21.5,3.1,140,195,4.62,8.5,4.22,86,80,86,28,"11",77.5,5.14,45
